2022-09-01 08:43:01,736 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:43:01] "GET /?celsius=test HTTP/1.1" 200 -
2022-09-01 08:43:03,284 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:43:03,284 , INFO:20 , c_to_f , Info log information
2022-09-01 08:43:03,285 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:43:03] "GET /?celsius=0 HTTP/1.1" 200 -
2022-09-01 08:43:03,943 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:43:03,943 , INFO:20 , c_to_f , Info log information
2022-09-01 08:43:03,944 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:43:03] "GET /?celsius=1 HTTP/1.1" 200 -
2022-09-01 08:43:04,514 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:43:04,514 , INFO:20 , c_to_f , Info log information
2022-09-01 08:43:04,515 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:43:04] "GET /?celsius=2 HTTP/1.1" 200 -
2022-09-01 08:43:05,095 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:43:05,095 , INFO:20 , c_to_f , Info log information
2022-09-01 08:43:05,096 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:43:05] "GET /?celsius=3 HTTP/1.1" 200 -
2022-09-01 08:43:06,504 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:43:06,504 , INFO:20 , c_to_f , Info log information
2022-09-01 08:43:06,505 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:43:06] "GET /?celsius=aaron HTTP/1.1" 200 -
2022-09-01 08:50:43,674 , INFO:20 , werkzeug , [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:5000
 * Running on http://172.31.27.208:5000
2022-09-01 08:50:43,675 , INFO:20 , werkzeug , [33mPress CTRL+C to quit[0m
2022-09-01 08:50:43,675 , INFO:20 , werkzeug ,  * Restarting with stat
2022-09-01 08:50:43,870 , WARNING:30 , werkzeug ,  * Debugger is active!
2022-09-01 08:50:43,872 , INFO:20 , werkzeug ,  * Debugger PIN: 960-461-402
2022-09-01 08:50:47,737 , DEBUG:10 , c_to_f , debug log info
2022-09-01 08:50:47,737 , INFO:20 , c_to_f , Info log information
2022-09-01 08:50:47,738 , INFO:20 , werkzeug , 218.212.238.113 - - [01/Sep/2022 08:50:47] "GET /?celsius=herro HTTP/1.1" 200 -
